cust_id;age;gender;city;loyalty_segment;preferred_channel;registration_date
1;50;MALE;Sharjah;Silver;Mobileapp;29/06/2024
2;20;FEMALE;Abu Dhabi;Gold;Store;03/12/2024
3;55;MALE;Dubai;Gold;Website;18/09/2023
4;25;MALE;Abu Dhabi;Platinum;Store;02/01/2022
5;20;FEMALE;Abu Dhabi;Silver;Mobileapp;13/09/2021
6;30;MALE;Dubai;Silver;Website;29/03/2025
7;45;FEMALE;Abu Dhabi;Silver;Mobileapp;16/03/2022
8;35;FEMALE;Dubai;Silver;Store;20/09/2024
9;40;MALE;Dubai;Platinum;Store;12/07/2025
10;35;FEMALE;Sharjah;Silver;Website;11/03/2022
11;35;MALE;Abu Dhabi;Silver;Amazon.Ae;21/11/2022
12;40;MALE;Sharjah;Silver;Store;24/01/2025
13;20;FEMALE;Abu Dhabi;Silver;Store;04/11/2021
14;30;MALE;Dubai;Silver;Store;24/08/2025
15;20;FEMALE;Abu Dhabi;Silver;Website;24/01/2024
16;60;FEMALE;Abu Dhabi;Silver;Store;13/02/2022
17;50;FEMALE;Sharjah;Silver;Mobileapp;06/04/2023
18;18;MALE;Dubai;Platinum;Store;06/04/2024
19;35;MALE;Sharjah;Silver;Store;28/03/2021
20;50;FEMALE;Sharjah;Silver;Store;03/01/2021
21;20;MALE;Abu Dhabi;Platinum;Website;07/01/2022
22;30;MALE;Sharjah;Gold;Website;01/04/2025
23;50;MALE;Dubai;Platinum;Store;04/10/2022
24;18;MALE;Sharjah;Platinum;Amazon.Ae;13/11/2023
25;35;MALE;Abu Dhabi;Silver;Store;08/04/2021
26;25;FEMALE;Dubai;Gold;Mobileapp;01/11/2022
27;50;FEMALE;Sharjah;Silver;Website;26/03/2025
28;55;MALE;Dubai;Silver;Store;17/11/2021
29;50;MALE;Dubai;Gold;Mobileapp;18/06/2022
30;30;MALE;Abu Dhabi;Silver;Mobileapp;31/03/2023
31;45;FEMALE;Dubai;Gold;Store;02/01/2022
32;40;MALE;Dubai;Gold;Website;22/04/2024
33;25;FEMALE;Sharjah;Silver;Store;21/02/2022
34;40;MALE;Dubai;Gold;Website;30/12/2022
35;18;FEMALE;Dubai;Silver;Store;22/05/2024
36;30;MALE;Dubai;Silver;Mobileapp;28/04/2023
37;20;FEMALE;Dubai;Gold;Store;01/11/2022
38;20;MALE;Abu Dhabi;Silver;Store;18/05/2024
39;18;FEMALE;Abu Dhabi;Gold;Store;13/05/2021
40;35;MALE;Sharjah;Silver;Store;22/02/2021
41;25;FEMALE;Abu Dhabi;Silver;Website;11/01/2023
42;35;FEMALE;Dubai;Gold;Store;26/11/2022
43;18;MALE;Sharjah;Silver;Mobileapp;23/01/2021
44;25;FEMALE;Abu Dhabi;Silver;Store;04/02/2024
45;30;FEMALE;Abu Dhabi;Silver;Mobileapp;15/06/2025
46;40;MALE;Abu Dhabi;Gold;Website;13/07/2025
47;25;MALE;Sharjah;Silver;Noon;05/04/2022
48;35;MALE;Abu Dhabi;Gold;Noon;12/10/2022
49;45;FEMALE;Dubai;Silver;Amazon.Ae;27/04/2022
50;35;FEMALE;Abu Dhabi;Gold;Mobileapp;30/04/2021
51;20;MALE;Dubai;Platinum;Store;04/11/2022
52;18;MALE;Dubai;Silver;Mobileapp;27/07/2021
53;45;FEMALE;Dubai;Silver;Noon;14/11/2021
54;18;FEMALE;Dubai;Gold;Store;04/12/2021
55;45;MALE;Dubai;Gold;Website;04/06/2021
56;30;FEMALE;Dubai;Silver;Store;18/05/2023
57;50;MALE;Abu Dhabi;Gold;Website;24/03/2024
58;40;MALE;Sharjah;Gold;Website;29/01/2022
59;60;FEMALE;Sharjah;Gold;Website;20/05/2022
60;25;MALE;Dubai;Gold;Website;29/08/2023
61;40;MALE;Abu Dhabi;Silver;Noon;09/11/2021
62;25;MALE;Sharjah;Platinum;Website;06/07/2024
63;30;FEMALE;Dubai;Silver;Mobileapp;26/03/2024
64;35;FEMALE;Abu Dhabi;Silver;Store;14/01/2021
65;45;MALE;Abu Dhabi;Silver;Store;18/03/2021
66;60;MALE;Dubai;Silver;Website;24/09/2024
67;40;MALE;Sharjah;Silver;Store;13/02/2022
68;25;FEMALE;Sharjah;Silver;Store;29/01/2022
69;25;MALE;Dubai;Silver;Website;08/08/2021
70;35;FEMALE;Dubai;Gold;Website;14/01/2023
71;20;MALE;Dubai;Silver;Website;09/03/2022
72;20;MALE;Dubai;Silver;Store;17/03/2023
73;25;MALE;Abu Dhabi;Silver;Store;18/01/2025
74;25;MALE;Abu Dhabi;Silver;Website;05/08/2025
75;25;FEMALE;Dubai;Silver;Store;09/03/2024
76;20;MALE;Sharjah;Silver;Store;15/09/2023
77;18;MALE;Dubai;Platinum;Store;02/03/2025
78;18;MALE;Dubai;Gold;Store;16/10/2022
79;60;MALE;Dubai;Gold;Store;23/07/2025
80;25;MALE;Abu Dhabi;Silver;Store;28/03/2023
81;25;MALE;Dubai;Silver;Store;03/04/2025
82;35;MALE;Dubai;Silver;Website;25/01/2023
83;20;FEMALE;Dubai;Gold;Store;07/11/2022
84;50;MALE;Sharjah;Silver;Store;12/04/2023
85;40;MALE;Sharjah;Silver;Amazon.Ae;25/01/2024
86;18;FEMALE;Dubai;Silver;Mobileapp;28/01/2021
87;25;MALE;Dubai;Silver;Store;15/09/2023
88;45;MALE;Abu Dhabi;Platinum;Amazon.Ae;07/06/2024
89;50;MALE;Abu Dhabi;Gold;Store;20/02/2022
90;30;MALE;Dubai;Gold;Store;19/01/2025
91;35;FEMALE;Sharjah;Silver;Noon;25/01/2021
92;20;MALE;Abu Dhabi;Gold;Amazon.Ae;07/09/2025
93;60;FEMALE;Dubai;Gold;Website;28/11/2024
